part_number, type, qty, datetime, destination, source, notes
217-6515, VERIFY, 11.0, 2022-01-08 22:52:56, cabinet, , 
217-6515, OUT, 3.0, 2022-01-08 22:53:23, cabinet, , 
217-6515, IN, 3.0, 2022-01-08 22:54:44, cabinet, , 
217-3351, VERIFY, 4.0, 2022-01-08 23:07:18, cabinet, , 
217-3351, OUT, 2.0, 2022-01-08 23:07:58, cabinet, , 
217-3351, IN, 2.0, 2022-01-08 23:09:21, cabinet, , 
217-6515, OUT, 1.0, 2022-01-10 18:12:45, cabinet, , 
217-6515, IN, 1.0, 2022-01-10 18:12:53, cabinet, , 
217-6515-rev2, VERIFY, 11.0, 2022-01-10 18:54:45, cabinet, , 
REV-11-1856, VERIFY, 2.0, 2022-01-10 18:56:15, cabinet, , 
49600-XRD, VERIFY, 1.0, 2022-01-10 19:24:24, cabinet, , 
49600-XRYL, VERIFY, 1.0, 2022-01-10 19:24:33, cabinet, , 
217-2702, VERIFY, 2.0, 2022-01-10 19:44:32, cabinet, , 
217-3417, VERIFY, 4.0, 2022-01-10 19:44:50, cabinet, , 
217-5475, VERIFY, 24.0, 2022-01-10 19:47:26, cabinet, , 
WCP-0185, VERIFY, 8.0, 2022-01-10 19:48:32, cabinet, , 
AM-0546, VERIFY, 3.0, 2022-01-10 19:49:03, cabinet, , 
217-2708, VERIFY, 10.0, 2022-01-10 19:49:51, cabinet, , 
217-2708, VERIFY, 15.0, 2022-01-10 19:50:26, cabinet, , 
217-2710, VERIFY, 5.0, 2022-01-10 19:51:11, cabinet, , 
217-2706, VERIFY, 3.0, 2022-01-10 19:51:51, cabinet, , 
217-2710, IN, 1.0, 2022-01-10 19:53:50, cabinet, , 
217-2710, OUT, 1.0, 2022-01-10 19:54:23, cabinet, , 
217-3212, VERIFY, 2.0, 2022-01-10 19:55:35, cabinet, , 
217-3211, VERIFY, 1.0, 2022-01-10 19:55:41, cabinet, , 
WCP-0176, VERIFY, 7.0, 2022-01-10 19:56:22, cabinet, , 
217-3212, VERIFY, 3.0, 2022-01-10 19:56:33, cabinet, , 
217-6293, VERIFY, 4.0, 2022-01-10 19:59:11, cabinet, , 
217-5994, VERIFY, 1.0, 2022-01-10 20:01:07, cabinet, , 
217-2820, VERIFY, 4.0, 2022-01-10 20:02:56, cabinet, , 
217-6473, VERIFY, 1.0, 2022-01-10 20:03:50, cabinet, , 
217-2816, VERIFY, 21.0, 2022-01-10 20:05:24, cabinet, , 
217-5994, VERIFY, 6.0, 2022-01-10 20:05:48, cabinet, , 
am-3953, IN, 1.0, 2022-01-10 20:13:08, cabinet, , 
217-3227, IN, 2.0, 2022-01-10 20:16:36, cabinet, , 
217-3225, IN, 1.0, 2022-01-10 20:16:49, cabinet, , 
